time_iso8601,stars_cumulative
2022-12-13 00:00:00+00:00,1
2023-04-03 00:00:00+00:00,2
2023-04-16 00:00:00+00:00,3
2023-07-13 00:00:00+00:00,4
2023-07-17 00:00:00+00:00,5
2023-10-12 00:00:00+00:00,7
2023-11-03 00:00:00+00:00,8
2023-12-04 00:00:00+00:00,9
2023-12-14 00:00:00+00:00,10
2023-12-27 00:00:00+00:00,11
2024-02-05 00:00:00+00:00,12
2024-02-22 00:00:00+00:00,13
2024-03-24 00:00:00+00:00,14
2024-03-27 00:00:00+00:00,15
2024-04-09 00:00:00+00:00,16
2024-04-10 00:00:00+00:00,17
2024-05-12 00:00:00+00:00,18
2024-05-22 00:00:00+00:00,19
2024-05-31 00:00:00+00:00,20
2024-06-14 00:00:00+00:00,21
